Data_source	MAG_name	Cluster	Species	Rank
FRAM18	FRAM18_4571_PB_K_metabat_bin_22	88_1	species_102	species_rep
TARA	TOA-bin-105	88_2	species_103	species_rep
TARA	TOA-bin-2888	89_0	species_104	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_01	90_1	species_105	species_rep
FRAM18	FRAM18_4514_B_concoct_bin_01	90_1	species_105	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_08	90_1	species_105	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin36	90_1	species_105	species_member
FRAM18	FRAM18_4502_I_metabat_bin_04	90_2	species_106	species_member
FRAM18	FRAM18_4502_K_concoct_bin_07	90_2	species_106	species_member
FRAM18	FRAM18_4514_B_concoct_bin_14	90_2	species_106	species_member
FRAM18	FRAM18_4514_D_concoct_bin_05	90_2	species_106	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_05	90_2	species_106	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_21	90_2	species_106	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin42	90_2	species_106	species_member
TARA	TOA-bin-1181	90_2	species_106	species_rep
TARA	TOA-bin-1280	91_0	species_107	species_rep
FRAM18	FRAM18_4502_K_concoct_bin_03	92_1	species_108	species_member
FRAM18	FRAM18_4514_D_concoct_bin_02	92_1	species_108	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_13	92_1	species_108	species_rep
MOSAiC	mosaic_3300046451_80	93_0	species_109	species_rep
FRAM18	FRAM18_4502_J_maxbin_bin_02	94_1	species_110	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_23	94_1	species_110	species_member
TARA	TOA-bin-438	94_1	species_110	species_member
MOSAiC	mosaic_3300046451_14	94_1	species_110	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin31	94_2	species_111	species_rep
MOSAiC	mosaic_3300045738_208	95_0	species_112	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_13	96_0	species_113	species_rep
TARA	TOA-bin-3179	97_0	species_114	species_rep
MOSAiC	mosaic_3300045738_116	98_0	species_115	species_rep
MOSAiC	mosaic_3300046532_108	99_0	species_116	species_rep
MOSAiC	mosaic_3300046532_26	100_0	species_117	species_rep
TARA	TOA-bin-2571	101_1	species_118	species_member
MOSAiC	mosaic_3300046467_40	101_1	species_118	species_rep
TARA	TOA-bin-659	102_0	species_119	species_rep
TARA	TOA-bin-3474	103_0	species_120	species_rep
MOSAiC	mosaic_3300045738_81	104_0	species_121	species_rep
MOSAiC	mosaic_3300046467_43	105_0	species_122	species_rep
TARA	TOA-bin-1612	106_1	species_123	species_member
MOSAiC	mosaic_3300046532_93	106_1	species_123	species_rep
TARA	TOA-bin-11	107_1	species_124	species_rep
MOSAiC	mosaic_3300046467_84	107_2	species_125	species_rep
MOSAiC	mosaic_3300045738_88	108_0	species_126	species_rep
TARA	TOA-bin-838	109_0	species_127	species_rep
TARA	TOA-bin-2087	110_0	species_128	species_rep
TARA	TOA-bin-3469	111_0	species_129	species_rep
TARA	TOA-bin-2611	112_0	species_130	species_rep
TARA	TOA-bin-1636	113_1	species_131	species_rep
MOSAiC	mosaic_3300046467_105	113_1	species_131	species_member
TARA	TOA-bin-1306	114_0	species_132	species_rep
TARA	TOA-bin-2384	115_0	species_133	species_rep
TARA	TOA-bin-1743	116_0	species_134	species_rep
TARA	TOA-bin-2240	117_0	species_135	species_rep
TARA	TOA-bin-2405	118_1	species_136	species_rep
MOSAiC	mosaic_3300046450_138	118_1	species_136	species_member
MOSAiC	mosaic_3300046532_161	118_2	species_137	species_rep
TARA	TOA-bin-3024	119_1	species_138	species_member
MOSAiC	mosaic_3300046467_30	119_1	species_138	species_rep
TARA	TOA-bin-1438	119_2	species_139	species_rep
TARA	TOA-bin-161	119_3	species_140	species_rep
MOSAiC	mosaic_3300045738_128	119_4	species_141	species_rep
MOSAiC	mosaic_3300045738_22	119_5	species_142	species_rep
TARA	TOA-bin-1492	120_1	species_143	species_rep
MOSAiC	mosaic_3300046467_145	120_1	species_143	species_member
TARA	TOA-bin-1795	121_0	species_144	species_rep
TARA	TOA-bin-2281	122_0	species_145	species_rep
TARA	TOA-bin-2601	123_0	species_146	species_rep
MOSAiC	mosaic_3300045738_190	124_0	species_147	species_rep
MOSAiC	mosaic_3300045738_66	125_0	species_148	species_rep
MOSAiC	mosaic_3300045738_67	126_0	species_149	species_rep
MOSAiC	mosaic_3300045738_224	127_1	species_150	species_rep
MOSAiC	mosaic_3300045738_91	127_2	species_151	species_rep
MOSAiC	mosaic_3300045738_163	128_0	species_152	species_rep
TARA	TOA-bin-841	129_0	species_153	species_rep
TARA	TOA-bin-2544	130_0	species_154	species_rep
MOSAiC	mosaic_3300045738_117	131_1	species_155	species_rep
MOSAiC	mosaic_3300046467_28	131_2	species_156	species_rep
MOSAiC	mosaic_3300046467_26	132_0	species_157	species_rep
TARA	TOA-bin-956	133_1	species_158	species_rep
MOSAiC	mosaic_3300045738_37	133_2	species_159	species_rep
MOSAiC	mosaic_3300046467_99	134_0	species_160	species_rep
TARA	TOA-bin-728	135_0	species_161	species_rep
MOSAiC	mosaic_3300046532_185	136_0	species_162	species_rep
MOSAiC	mosaic_3300045738_164	137_0	species_163	species_rep
TARA	TOA-bin-404	138_1	species_164	species_member
TARA	TOA-bin-684	138_1	species_164	species_rep
MOSAiC	mosaic_3300047668_74	139_0	species_165	species_rep
MOSAiC	mosaic_3300047669_20	140_0	species_166	species_rep
TARA	TOA-bin-2074	141_1	species_167	species_rep
MOSAiC	mosaic_3300046450_139	141_1	species_167	species_member
TARA	TOA-bin-822	142_0	species_168	species_rep
MOSAiC	mosaic_3300045738_115	143_0	species_169	species_rep
MOSAiC	mosaic_3300046467_63	144_0	species_170	species_rep
MOSAiC	mosaic_3300045738_215	145_0	species_171	species_rep
TARA	TOA-bin-430	146_1	species_172	species_member
MOSAiC	mosaic_3300047668_70	146_1	species_172	species_rep
MOSAiC	mosaic_3300045738_95	147_0	species_173	species_rep
MOSAiC	mosaic_3300046450_99	148_0	species_174	species_rep
TARA	TOA-bin-2913	149_1	species_175	species_member
MOSAiC	mosaic_3300046451_27	149_1	species_175	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_12	150_1	species_176	species_member
TARA	TOA-bin-426	150_1	species_176	species_member
MOSAiC	mosaic_3300046532_180	150_1	species_176	species_rep
TARA	TOA-bin-1392	151_0	species_177	species_rep
TARA	TOA-bin-3515	152_0	species_178	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_03	153_0	species_179	species_rep
TARA	TOA-bin-1063	154_0	species_180	species_rep
TARA	TOA-bin-568	155_0	species_181	species_rep
TARA	TOA-bin-666	156_0	species_182	species_rep
TARA	TOA-bin-2018	157_1	species_183	species_rep
MOSAiC	mosaic_3300046532_132	157_1	species_183	species_member
MOSAiC	mosaic_3300045738_19	158_0	species_184	species_rep
TARA	TOA-bin-3324	159_1	species_185	species_rep
TARA	TOA-bin-932	159_2	species_186	species_rep
TARA	TOA-bin-1325	160_0	species_187	species_rep
TARA	TOA-bin-96	161_0	species_188	species_rep
TARA	TOA-bin-2145	162_0	species_189	species_rep
MOSAiC	mosaic_3300045738_131	163_0	species_190	species_rep
MOSAiC	mosaic_3300045738_35	164_0	species_191	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin8	165_1	species_192	species_rep
TARA	TOA-bin-48	165_2	species_193	species_rep
MOSAiC	mosaic_3300045738_132	166_0	species_194	species_rep
TARA	TOA-bin-792	167_0	species_195	species_rep
MOSAiC	mosaic_3300046467_176	168_0	species_196	species_rep
TARA	TOA-bin-1089	169_0	species_197	species_rep
MOSAiC	mosaic_3300046467_98	170_0	species_198	species_rep
TARA	TOA-bin-1913	171_1	species_199	species_member
TARA	TOA-bin-35	171_1	species_199	species_rep
MOSAiC	mosaic_3300046532_170	171_1	species_199	species_member
MOSAiC	mosaic_3300045738_213	171_2	species_200	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_03	172_1	species_201	species_member
TARA	TOA-bin-1977	172_1	species_201	species_member
MOSAiC	mosaic_3300046467_118	172_1	species_201	species_rep
TARA	TOA-bin-812	172_2	species_202	species_member
MOSAiC	mosaic_3300046467_71	172_2	species_202	species_rep
MOSAiC	mosaic_3300045738_177	172_3	species_203	species_rep
TARA	TOA-bin-1281	173_0	species_204	species_rep
TARA	TOA-bin-2330	174_0	species_205	species_rep
TARA	TOA-bin-2942	175_0	species_206	species_rep
TARA	TOA-bin-1864	176_0	species_207	species_rep
TARA	TOA-bin-2893	177_0	species_208	species_rep
TARA	TOA-bin-2849	178_1	species_209	species_rep
MOSAiC	mosaic_3300045738_16	178_2	species_210	species_rep
TARA	TOA-bin-3180	179_0	species_211	species_rep
TARA	TOA-bin-796	180_0	species_212	species_rep
TARA	TOA-bin-2615	181_0	species_213	species_rep
TARA	TOA-bin-3372	182_0	species_214	species_rep
TARA	TOA-bin-321	183_0	species_215	species_rep
MOSAiC	mosaic_3300046450_154	184_0	species_216	species_rep
MOSAiC	mosaic_3300046451_10	185_0	species_217	species_rep
MOSAiC	mosaic_3300046532_204	186_0	species_218	species_rep
TARA	TOA-bin-784	187_0	species_219	species_rep
MOSAiC	mosaic_3300045738_9	188_0	species_220	species_rep
MOSAiC	mosaic_3300045738_38	189_0	species_221	species_rep
TARA	TOA-bin-1193	190_0	species_222	species_rep
MOSAiC	mosaic_3300045738_139	191_0	species_223	species_rep
MOSAiC	mosaic_3300046467_90	192_0	species_224	species_rep
MOSAiC	mosaic_3300046532_89	193_0	species_225	species_rep
MOSAiC	mosaic_3300047669_49	194_0	species_226	species_rep
MOSAiC	mosaic_3300045738_126	195_0	species_227	species_rep
MOSAiC	mosaic_3300045738_186	196_0	species_228	species_rep
MOSAiC	mosaic_3300045738_197	197_0	species_229	species_rep
TARA	TOA-bin-413	198_1	species_230	species_rep
MOSAiC	mosaic_3300047668_48	198_1	species_230	species_member
MOSAiC	mosaic_3300046532_54	199_0	species_231	species_rep
MOSAiC	mosaic_3300046103_77	200_0	species_232	species_rep
MOSAiC	mosaic_3300046467_137	201_0	species_233	species_rep
TARA	TOA-bin-2086	202_1	species_234	species_rep
MOSAiC	mosaic_3300046467_100	202_2	species_235	species_rep
MOSAiC	mosaic_3300046532_68	203_0	species_236	species_rep
MOSAiC	mosaic_3300046532_213	204_0	species_237	species_rep
MOSAiC	mosaic_3300046467_14	205_0	species_238	species_rep
TARA	TOA-bin-3364	206_0	species_239	species_rep
MOSAiC	mosaic_3300046467_15	207_0	species_240	species_rep
TARA	TOA-bin-1680	208_0	species_241	species_rep
TARA	TOA-bin-2065	209_0	species_242	species_rep
TARA	TOA-bin-1053	210_0	species_243	species_rep
MOSAiC	mosaic_3300046467_165	211_0	species_244	species_rep
MOSAiC	mosaic_3300045738_221	212_0	species_245	species_rep
TARA	TOA-bin-1457	213_1	species_246	species_rep
MOSAiC	mosaic_3300046467_53	213_1	species_246	species_member
TARA	TOA-bin-3475	214_0	species_247	species_rep
TARA	TOA-bin-1745	215_0	species_248	species_rep
MOSAiC	mosaic_3300046467_62	216_0	species_249	species_rep
FRAM18	FRAM18_4502_I_metabat_bin_02	217_1	species_250	species_member
FRAM18	FRAM18_4502_K_metabat_bin_11	217_1	species_250	species_member
FRAM18	FRAM18_4514_B_metabat_bin_04	217_1	species_250	species_member
FRAM18	FRAM18_4514_D_metabat_bin_10	217_1	species_250	species_rep
FRAM18	FRAM18_4571_PB_I_concoct_bin_13	217_1	species_250	species_member
TARA	TOA-bin-46	218_1	species_251	species_rep
MOSAiC	mosaic_3300046532_4	218_1	species_251	species_member
TARA	TOA-bin-3265	218_2	species_252	species_rep
MOSAiC	mosaic_3300045738_207	219_0	species_253	species_rep
MOSAiC	mosaic_3300045738_57	220_0	species_254	species_rep
TARA	TOA-bin-437	221_1	species_255	species_rep
MOSAiC	mosaic_3300046451_141	221_1	species_255	species_member
TARA	TOA-bin-1885	222_0	species_256	species_rep
MOSAiC	mosaic_3300046467_156	223_0	species_257	species_rep
TARA	TOA-bin-1100	224_1	species_258	species_member
MOSAiC	mosaic_3300046532_157	224_1	species_258	species_rep
MOSAiC	mosaic_3300045738_214	225_0	species_259	species_rep
MOSAiC	mosaic_3300045738_40	226_0	species_260	species_rep
MOSAiC	mosaic_3300046451_24	227_0	species_261	species_rep
MOSAiC	mosaic_3300046467_133	228_0	species_262	species_rep
TARA	TOA-bin-1667	229_1	species_263	species_member
MOSAiC	mosaic_3300046450_21	229_1	species_263	species_rep
MOSAiC	mosaic_3300046467_29	230_0	species_264	species_rep
MOSAiC	mosaic_3300045738_220	231_0	species_265	species_rep
MOSAiC	mosaic_3300046467_181	232_0	species_266	species_rep
MOSAiC	mosaic_3300045738_161	233_0	species_267	species_rep
MOSAiC	mosaic_3300045738_217	234_0	species_268	species_rep
TARA	TOA-bin-2009	235_0	species_269	species_rep
MOSAiC	mosaic_3300045738_198	236_0	species_270	species_rep
TARA	TOA-bin-1972	237_0	species_271	species_rep
MOSAiC	mosaic_3300046103_88	238_0	species_272	species_rep
TARA	TOA-bin-3362	239_0	species_273	species_rep
TARA	TOA-bin-2399	240_0	species_274	species_rep
MOSAiC	mosaic_3300045738_110	241_0	species_275	species_rep
TARA	TOA-bin-742	242_1	species_276	species_member
MOSAiC	mosaic_3300046532_209	242_1	species_276	species_rep
TARA	TOA-bin-766	243_0	species_277	species_rep
TARA	TOA-bin-2465	244_0	species_278	species_rep
MOSAiC	mosaic_3300046467_107	245_0	species_279	species_rep
TARA	TOA-bin-586	246_1	species_280	species_rep
MOSAiC	mosaic_3300047668_6	246_1	species_280	species_member
MOSAiC	mosaic_3300045738_53	247_0	species_281	species_rep
TARA	TOA-bin-5	248_0	species_282	species_rep
MOSAiC	mosaic_3300045738_120	249_0	species_283	species_rep
TARA	TOA-bin-1661	250_1	species_284	species_rep
TARA	TOA-bin-1763	250_2	species_285	species_rep
TARA	TOA-bin-1229	251_0	species_286	species_rep
MOSAiC	mosaic_3300045738_141	252_0	species_287	species_rep
MOSAiC	mosaic_3300046532_171	253_0	species_288	species_rep
TARA	TOA-bin-1579	254_1	species_289	species_rep
MOSAiC	mosaic_3300046532_28	254_1	species_289	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin2	255_0	species_290	species_rep
MOSAiC	mosaic_3300046532_214	256_0	species_291	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_03	257_1	species_292	species_member
MOSAiC	mosaic_3300047668_75	257_1	species_292	species_rep
TARA	TOA-bin-2238	258_0	species_293	species_rep
MOSAiC	mosaic_3300045738_93	259_0	species_294	species_rep
MOSAiC	mosaic_3300046467_48	260_0	species_295	species_rep
TARA	TOA-bin-2540	261_1	species_296	species_rep
TARA	TOA-bin-896	261_1	species_296	species_member
TARA	TOA-bin-3034	262_0	species_297	species_rep
MOSAiC	mosaic_3300046451_85	263_0	species_298	species_rep
TARA	TOA-bin-2142	264_0	species_299	species_rep
TARA	TOA-bin-1613	265_0	species_300	species_rep
TARA	TOA-bin-1376	266_0	species_301	species_rep
TARA	TOA-bin-1708	267_0	species_302	species_rep
TARA	TOA-bin-1905	268_0	species_303	species_rep
TARA	TOA-bin-3336	269_1	species_304	species_rep
MOSAiC	mosaic_3300045738_223	269_1	species_304	species_member
TARA	TOA-bin-3281	269_2	species_305	species_rep
TARA	TOA-bin-2093	270_0	species_306	species_rep
TARA	TOA-bin-3423	271_0	species_307	species_rep
TARA	TOA-bin-1588	272_1	species_308	species_rep
MOSAiC	mosaic_3300045738_150	272_1	species_308	species_member
TARA	TOA-bin-2243	273_0	species_309	species_rep
TARA	TOA-bin-143	274_1	species_310	species_rep
TARA	TOA-bin-352	274_2	species_311	species_rep
TARA	TOA-bin-1487	275_0	species_312	species_rep
MOSAiC	mosaic_3300046467_69	276_0	species_313	species_rep
TARA	TOA-bin-2546	277_1	species_314	species_member
MOSAiC	mosaic_3300047669_3	277_1	species_314	species_rep
TARA	TOA-bin-3497	277_2	species_315	species_rep
TARA	TOA-bin-658	277_3	species_316	species_rep
TARA	TOA-bin-2978	278_0	species_317	species_rep
TARA	TOA-bin-3098	279_0	species_318	species_rep
TARA	TOA-bin-1801	280_1	species_319	species_rep
MOSAiC	mosaic_3300045738_99	280_2	species_320	species_rep
TARA	TOA-bin-2229	281_0	species_321	species_rep
FRAM18	FRAM18_4502_H_metabat_bin_05	282_1	species_322	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin7	282_1	species_322	species_rep
TARA	TOA-bin-2226	283_0	species_323	species_rep
FRAM18	FRAM18_4502_G_metabat_bin_06	284_1	species_324	species_member
FRAM18	FRAM18_4502_I_concoct_bin_09	284_1	species_324	species_member
FRAM18	FRAM18_4514_C_maxbin_bin_06	284_1	species_324	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_04	284_1	species_324	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_11	284_1	species_324	species_rep
MOSAiC	mosaic_3300046103_63	285_0	species_325	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_07	286_0	species_326	species_rep
TARA	TOA-bin-3291	287_0	species_327	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_24	288_1	species_328	species_rep
TARA	TOA-bin-3322	288_1	species_328	species_member
TARA	TOA-bin-1874	289_0	species_329	species_rep
TARA	TOA-bin-1718	290_0	species_330	species_rep
TARA	TOA-bin-3412	291_0	species_331	species_rep
TARA	TOA-bin-3384	292_0	species_332	species_rep
TARA	TOA-bin-2716	293_0	species_333	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_06	294_1	species_334	species_member
FRAM18	FRAM18_4502_F_metabat_bin_03	294_1	species_334	species_member
FRAM18	FRAM18_4502_H_metabat_bin_12	294_1	species_334	species_rep
FRAM18	FRAM18_4514_A_metabat_bin_11	294_1	species_334	species_member
FRAM18	FRAM18_4502_E_concoct_bin_08	295_1	species_335	species_rep
FRAM18	FRAM18_4514_A_metabat_bin_10	295_1	species_335	species_member
FRAM18	FRAM18_4514_D_metabat_bin_08	295_2	species_336	species_rep
TARA	TOA-bin-3363	296_0	species_337	species_rep
TARA	TOA-bin-1204	297_0	species_338	species_rep
TARA	TOA-bin-2466	298_0	species_339	species_rep
TARA	TOA-bin-2095	299_0	species_340	species_rep
MOSAiC	mosaic_3300046467_61	300_0	species_341	species_rep
MOSAiC	mosaic_3300046467_31	301_0	species_342	species_rep
MOSAiC	mosaic_3300046532_11	302_0	species_343	species_rep
TARA	TOA-bin-1811	303_1	species_344	species_rep
TARA	TOA-bin-21	303_2	species_345	species_rep
TARA	TOA-bin-3266	304_0	species_346	species_rep
TARA	TOA-bin-740	305_0	species_347	species_rep
TARA	TOA-bin-1525	306_0	species_348	species_rep
TARA	TOA-bin-2051	307_0	species_349	species_rep
TARA	TOA-bin-1175	308_0	species_350	species_rep
TARA	TOA-bin-213	309_0	species_351	species_rep
TARA	TOA-bin-1623	310_0	species_352	species_rep
TARA	TOA-bin-2044	311_0	species_353	species_rep
TARA	TOA-bin-1802	312_0	species_354	species_rep
TARA	TOA-bin-3257	313_0	species_355	species_rep
TARA	TOA-bin-1962	314_1	species_356	species_rep
MOSAiC	mosaic_3300046467_86	314_1	species_356	species_member
MOSAiC	mosaic_3300046532_224	314_2	species_357	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin14	315_1	species_358	species_rep
MOSAiC	mosaic_3300046451_92	315_2	species_359	species_rep
TARA	TOA-bin-3488	316_0	species_360	species_rep
TARA	TOA-bin-1452	317_0	species_361	species_rep
TARA	TOA-bin-2579	318_0	species_362	species_rep
TARA	TOA-bin-1868	319_0	species_363	species_rep
TARA	TOA-bin-1998	320_0	species_364	species_rep
TARA	TOA-bin-1578	321_0	species_365	species_rep
TARA	TOA-bin-1722	322_0	species_366	species_rep
MOSAiC	mosaic_3300045738_212	323_0	species_367	species_rep
