Sample	Species_rep	Species	TAD	Rel_abund
FRAM18_IL_4502_E	FRAM18_4502_J_metabat_bin_04	species_776	336.084	5.39068
FRAM18_IL_4502_E	FRAM18_4502_J_metabat_bin_06	species_563	0.0726717	0.00116563
FRAM18_IL_4502_E	FRAM18_4502_J_metabat_bin_07	species_550	0.146891	0.00235609
FRAM18_IL_4502_E	FRAM18_4502_K_concoct_bin_05	species_589	16.7336	0.268402
FRAM18_IL_4502_E	FRAM18_4502_K_metabat_bin_03	species_729	0.0758166	0.00121607
FRAM18_IL_4502_E	FRAM18_4502_K_metabat_bin_08	species_732	0	0
FRAM18_IL_4502_E	FRAM18_4502_K_metabat_bin_09	species_458	0	0
FRAM18_IL_4502_E	FRAM18_4502_K_metabat_bin_13	species_34	0	0
FRAM18_IL_4502_E	FRAM18_4502_K_metabat_bin_14	species_460	4.43219	0.071091
FRAM18_IL_4502_E	FRAM18_4514_A_concoct_bin_01	species_652	20.1284	0.322853
FRAM18_IL_4502_E	FRAM18_4514_A_concoct_bin_06	species_500	24.1676	0.387641
FRAM18_IL_4502_E	FRAM18_4514_A_concoct_bin_08	species_492	168.268	2.69897
FRAM18_IL_4502_E	FRAM18_4514_A_metabat_bin_02	species_41	29.0378	0.465757
FRAM18_IL_4502_E	FRAM18_4514_B_concoct_bin_05	species_785	100.233	1.60771
FRAM18_IL_4502_E	FRAM18_4514_B_concoct_bin_06	species_770	1.14418	0.0183523
FRAM18_IL_4502_E	FRAM18_4514_B_concoct_bin_09	species_389	4.92143	0.0789382
FRAM18_IL_4502_E	FRAM18_4514_B_concoct_bin_12	species_561	2.88604	0.0462912
FRAM18_IL_4502_E	FRAM18_4514_B_concoct_bin_18	species_433	17.9336	0.287649
FRAM18_IL_4502_E	FRAM18_4514_B_maxbin_bin_01	species_390	26.4125	0.423648
FRAM18_IL_4502_E	FRAM18_4514_B_metabat_bin_01	species_420	0	0
FRAM18_IL_4502_E	FRAM18_4514_C_metabat_bin_05	species_380	41.2467	0.661584
FRAM18_IL_4502_E	FRAM18_4514_C_metabat_bin_06	species_816	59.7291	0.958036
FRAM18_IL_4502_E	FRAM18_4514_D_concoct_bin_03	species_580	0.168274	0.00269906
FRAM18_IL_4502_E	FRAM18_4514_D_concoct_bin_07	species_560	0.00596847	9.57324e-05
FRAM18_IL_4502_E	FRAM18_4514_D_metabat_bin_06	species_526	1.33847	0.0214686
FRAM18_IL_4502_E	FRAM18_4514_D_metabat_bin_08	species_336	10.5322	0.168933
FRAM18_IL_4502_E	FRAM18_4514_D_metabat_bin_10	species_250	5.50234	0.0882558
FRAM18_IL_4502_E	FRAM18_4571_PB_H_concoct_bin_01	species_541	21.5951	0.346379
FRAM18_IL_4502_E	FRAM18_4571_PB_H_concoct_bin_06	species_555	5.22804	0.0838561
FRAM18_IL_4502_E	FRAM18_4571_PB_H_concoct_bin_10	species_465	2.23953	0.0359214
FRAM18_IL_4502_E	FRAM18_4571_PB_H_concoct_bin_11	species_810	3.48493	0.0558972
FRAM18_IL_4502_E	FRAM18_4571_PB_H_concoct_bin_13	species_528	1.20757	0.0193691
FRAM18_IL_4502_E	FRAM18_4571_PB_H_maxbin_bin_01	species_428	18.7169	0.300213
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_02	species_787	125.421	2.01171
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_05	species_588	47.8041	0.766763
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_10	species_524	127.176	2.03986
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_15	species_645	1.18932	0.0190763
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_21	species_771	51.1362	0.820209
FRAM18_IL_4502_E	FRAM18_4571_PB_H_metabat_bin_23	species_811	233.224	3.74084
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_09	species_409	0.525646	0.0084312
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_10	species_806	444.701	7.13287
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_11	species_579	4.49179	0.0720469
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_12	species_473	0.00951644	0.000152641
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_14	species_24	65.9098	1.05717
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_16	species_454	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_I_concoct_bin_17	species_494	98.874	1.58591
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_02	species_487	33.0933	0.530806
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_08	species_42	1.39238	0.0223333
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_09	species_547	3.06833	0.0492151
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_12	species_703	0.0426733	0.000684467
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_13	species_488	45.4646	0.729238
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_14	species_482	14.9207	0.239323
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_15	species_463	2.8374	0.045511
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_18	species_529	0.44549	0.00714552
FRAM18_IL_4502_E	FRAM18_4571_PB_I_metabat_bin_20	species_442	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_01	species_457	0.604816	0.00970106
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_02	species_581	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_03	species_179	4.31388	0.0691933
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_05	species_498	0.821878	0.0131827
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_06	species_705	0.169737	0.00272253
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_07	species_326	0.00271799	4.35957e-05
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_09	species_485	8.39645	0.134676
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_10	species_556	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_11	species_530	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_13	species_108	11.1221	0.178395
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_15	species_391	10.6014	0.170043
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_18	species_653	4.93951	0.0792282
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_20	species_51	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_22	species_536	13.0176	0.208798
FRAM18_IL_4502_E	FRAM18_4571_PB_K_concoct_bin_24	species_38	0.276196	0.0044301
FRAM18_IL_4502_E	FRAM18_4571_PB_K_maxbin_bin_01	species_822	14.0183	0.224849
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_05	species_535	6.98074	0.111969
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_07	species_519	6.30489	0.101128
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_10	species_815	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_11	species_324	16.8433	0.270161
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_12	species_88	192.966	3.09512
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_13	species_113	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_19	species_558	32.4511	0.520506
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_21	species_544	12.0748	0.193676
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_22	species_102	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_24	species_328	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_27	species_429	14.6342	0.234728
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_28	species_559	70.9565	1.13812
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_29	species_462	12.1352	0.194645
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_30	species_431	0	0
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_31	species_504	65.1698	1.0453
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_32	species_798	582.376	9.34113
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_34	species_461	0.142169	0.00228035
FRAM18_IL_4502_E	FRAM18_4571_PB_K_metabat_bin_39	species_578	0.627182	0.0100598
FRAM18_IL_4502_E	FRAM_EGC1617_bin0	species_809	24.1421	0.387232
FRAM18_IL_4502_E	FRAM_EGC1617_bin10	species_791	1.28328	0.0205834
FRAM18_IL_4502_E	FRAM_EGC1617_bin11	species_723	31.379	0.503309
FRAM18_IL_4502_E	FRAM_EGC1617_bin12	species_439	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin13	species_383	21.8466	0.350413
FRAM18_IL_4502_E	FRAM_EGC1617_bin14	species_358	23.7294	0.380612
FRAM18_IL_4502_E	FRAM_EGC1617_bin16	species_746	4.757	0.0763008
FRAM18_IL_4502_E	FRAM_EGC1617_bin17	species_800	425.339	6.82231
FRAM18_IL_4502_E	FRAM_EGC1617_bin19	species_590	4.06762	0.0652434
FRAM18_IL_4502_E	FRAM_EGC1617_bin1	species_736	44.2993	0.710547
FRAM18_IL_4502_E	FRAM_EGC1617_bin21	species_813	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin22	species_817	7.98554	0.128086
FRAM18_IL_4502_E	FRAM_EGC1617_bin23	species_773	20.6814	0.331723
FRAM18_IL_4502_E	FRAM_EGC1617_bin25	species_94	13.2736	0.212904
FRAM18_IL_4502_E	FRAM_EGC1617_bin27	species_434	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin2	species_290	3.58953	0.057575
FRAM18_IL_4502_E	FRAM_EGC1617_bin31	species_111	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin32	species_783	5.47008	0.0877384
FRAM18_IL_4502_E	FRAM_EGC1617_bin35	species_742	16.4429	0.263739
FRAM18_IL_4502_E	FRAM_EGC1617_bin41	species_660	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin4	species_792	0.163864	0.00262833
FRAM18_IL_4502_E	FRAM_EGC1617_bin5	species_685	0	0
FRAM18_IL_4502_E	FRAM_EGC1617_bin7	species_322	23.9876	0.384754
FRAM18_IL_4502_E	FRAM_EGC1617_bin8	species_192	0.261863	0.0042002
FRAM18_IL_4502_E	FRAM_EGC1617_bin9	species_662	0	0
FRAM18_IL_4502_E	mosaic_3300045738_102	species_630	0	0
FRAM18_IL_4502_E	mosaic_3300045738_105	species_694	0	0
FRAM18_IL_4502_E	mosaic_3300045738_10	species_62	0	0
FRAM18_IL_4502_E	mosaic_3300045738_110	species_275	0	0
FRAM18_IL_4502_E	mosaic_3300045738_114	species_661	0	0
FRAM18_IL_4502_E	mosaic_3300045738_115	species_169	0	0
FRAM18_IL_4502_E	mosaic_3300045738_116	species_115	0	0
FRAM18_IL_4502_E	mosaic_3300045738_117	species_155	0	0
FRAM18_IL_4502_E	mosaic_3300045738_118	species_55	0.118384	0.00189884
FRAM18_IL_4502_E	mosaic_3300045738_119	species_788	3.89912	0.0625407
FRAM18_IL_4502_E	mosaic_3300045738_11	species_575	0	0
FRAM18_IL_4502_E	mosaic_3300045738_120	species_283	0	0
FRAM18_IL_4502_E	mosaic_3300045738_125	species_717	0	0
FRAM18_IL_4502_E	mosaic_3300045738_126	species_227	0	0
FRAM18_IL_4502_E	mosaic_3300045738_128	species_141	0	0
FRAM18_IL_4502_E	mosaic_3300045738_129	species_99	5.9983	0.0962109
FRAM18_IL_4502_E	mosaic_3300045738_130	species_625	0.00288291	4.6241e-05
FRAM18_IL_4502_E	mosaic_3300045738_131	species_190	0	0
FRAM18_IL_4502_E	mosaic_3300045738_132	species_194	0	0
FRAM18_IL_4502_E	mosaic_3300045738_134	species_634	0	0
FRAM18_IL_4502_E	mosaic_3300045738_139	species_223	0	0
FRAM18_IL_4502_E	mosaic_3300045738_141	species_287	0	0
FRAM18_IL_4502_E	mosaic_3300045738_145	species_664	0	0
FRAM18_IL_4502_E	mosaic_3300045738_14	species_692	0	0
FRAM18_IL_4502_E	mosaic_3300045738_158	species_759	0	0
FRAM18_IL_4502_E	mosaic_3300045738_161	species_267	0	0
FRAM18_IL_4502_E	mosaic_3300045738_163	species_152	0	0
FRAM18_IL_4502_E	mosaic_3300045738_164	species_163	0	0
FRAM18_IL_4502_E	mosaic_3300045738_169	species_707	0	0
FRAM18_IL_4502_E	mosaic_3300045738_16	species_210	0	0
FRAM18_IL_4502_E	mosaic_3300045738_172	species_624	0.0188292	0.000302015
FRAM18_IL_4502_E	mosaic_3300045738_173	species_635	0	0
FRAM18_IL_4502_E	mosaic_3300045738_176	species_802	0.215905	0.00346305
FRAM18_IL_4502_E	mosaic_3300045738_177	species_203	0.2213	0.00354958
FRAM18_IL_4502_E	mosaic_3300045738_178	species_620	0	0
FRAM18_IL_4502_E	mosaic_3300045738_179	species_643	0	0
FRAM18_IL_4502_E	mosaic_3300045738_17	species_699	0	0
FRAM18_IL_4502_E	mosaic_3300045738_180	species_658	0	0
FRAM18_IL_4502_E	mosaic_3300045738_186	species_228	0	0
FRAM18_IL_4502_E	mosaic_3300045738_18	species_440	0	0
FRAM18_IL_4502_E	mosaic_3300045738_190	species_147	0	0
FRAM18_IL_4502_E	mosaic_3300045738_192	species_640	0	0
FRAM18_IL_4502_E	mosaic_3300045738_193	species_725	0	0
FRAM18_IL_4502_E	mosaic_3300045738_195	species_567	0	0
FRAM18_IL_4502_E	mosaic_3300045738_196	species_697	0	0
FRAM18_IL_4502_E	mosaic_3300045738_197	species_229	0	0
FRAM18_IL_4502_E	mosaic_3300045738_198	species_270	0	0
FRAM18_IL_4502_E	mosaic_3300045738_199	species_21	0	0
FRAM18_IL_4502_E	mosaic_3300045738_19	species_184	0.0416689	0.000668356
FRAM18_IL_4502_E	mosaic_3300045738_200	species_641	0	0
FRAM18_IL_4502_E	mosaic_3300045738_206	species_743	0	0
FRAM18_IL_4502_E	mosaic_3300045738_207	species_253	0	0
FRAM18_IL_4502_E	mosaic_3300045738_208	species_112	0	0
FRAM18_IL_4502_E	mosaic_3300045738_210	species_751	0	0
FRAM18_IL_4502_E	mosaic_3300045738_212	species_367	0	0
FRAM18_IL_4502_E	mosaic_3300045738_213	species_200	0	0
FRAM18_IL_4502_E	mosaic_3300045738_214	species_259	0	0
FRAM18_IL_4502_E	mosaic_3300045738_215	species_171	0	0
FRAM18_IL_4502_E	mosaic_3300045738_217	species_268	0	0
FRAM18_IL_4502_E	mosaic_3300045738_218	species_716	0	0
FRAM18_IL_4502_E	mosaic_3300045738_21	species_696	0	0
FRAM18_IL_4502_E	mosaic_3300045738_220	species_265	0	0
FRAM18_IL_4502_E	mosaic_3300045738_221	species_245	0	0
FRAM18_IL_4502_E	mosaic_3300045738_222	species_739	0	0
FRAM18_IL_4502_E	mosaic_3300045738_224	species_150	0	0
FRAM18_IL_4502_E	mosaic_3300045738_226	species_633	0	0
FRAM18_IL_4502_E	mosaic_3300045738_22	species_142	0	0
FRAM18_IL_4502_E	mosaic_3300045738_25	species_573	0	0
FRAM18_IL_4502_E	mosaic_3300045738_28	species_15	0	0
FRAM18_IL_4502_E	mosaic_3300045738_30	species_629	0	0
FRAM18_IL_4502_E	mosaic_3300045738_31	species_23	0	0
FRAM18_IL_4502_E	mosaic_3300045738_35	species_191	0	0
FRAM18_IL_4502_E	mosaic_3300045738_37	species_159	0	0
FRAM18_IL_4502_E	mosaic_3300045738_38	species_221	0	0
FRAM18_IL_4502_E	mosaic_3300045738_40	species_260	0	0
FRAM18_IL_4502_E	mosaic_3300045738_42	species_622	0	0
FRAM18_IL_4502_E	mosaic_3300045738_45	species_803	0.522777	0.00838518
FRAM18_IL_4502_E	mosaic_3300045738_53	species_281	0	0
FRAM18_IL_4502_E	mosaic_3300045738_56	species_702	0	0
FRAM18_IL_4502_E	mosaic_3300045738_57	species_254	0	0
FRAM18_IL_4502_E	mosaic_3300045738_66	species_148	0	0
FRAM18_IL_4502_E	mosaic_3300045738_67	species_149	0	0
FRAM18_IL_4502_E	mosaic_3300045738_69	species_695	0	0
FRAM18_IL_4502_E	mosaic_3300045738_70	species_95	0.243828	0.00391093
FRAM18_IL_4502_E	mosaic_3300045738_71	species_400	0	0
FRAM18_IL_4502_E	mosaic_3300045738_73	species_386	0	0
FRAM18_IL_4502_E	mosaic_3300045738_76	species_570	0	0
FRAM18_IL_4502_E	mosaic_3300045738_7	species_760	0	0
FRAM18_IL_4502_E	mosaic_3300045738_80	species_597	0.0679604	0.00109006
FRAM18_IL_4502_E	mosaic_3300045738_81	species_121	0	0
FRAM18_IL_4502_E	mosaic_3300045738_83	species_408	0	0
FRAM18_IL_4502_E	mosaic_3300045738_84	species_698	0	0
FRAM18_IL_4502_E	mosaic_3300045738_85	species_690	0.35244	0.00565303
FRAM18_IL_4502_E	mosaic_3300045738_86	species_615	0	0
FRAM18_IL_4502_E	mosaic_3300045738_87	species_68	0	0
FRAM18_IL_4502_E	mosaic_3300045738_88	species_126	0	0
FRAM18_IL_4502_E	mosaic_3300045738_91	species_151	0	0
FRAM18_IL_4502_E	mosaic_3300045738_93	species_294	0	0
FRAM18_IL_4502_E	mosaic_3300045738_95	species_173	0	0
FRAM18_IL_4502_E	mosaic_3300045738_99	species_320	0	0
FRAM18_IL_4502_E	mosaic_3300045738_9	species_220	0	0
FRAM18_IL_4502_E	mosaic_3300046103_134	species_384	0.793844	0.012733
FRAM18_IL_4502_E	mosaic_3300046103_1	species_619	4.17349	0.0669415
FRAM18_IL_4502_E	mosaic_3300046103_35	species_371	1.88671	0.0302622
FRAM18_IL_4502_E	mosaic_3300046103_37	species_37	21.2057	0.340133
FRAM18_IL_4502_E	mosaic_3300046103_61	species_818	6.66918	0.106972
FRAM18_IL_4502_E	mosaic_3300046103_63	species_325	0	0
FRAM18_IL_4502_E	mosaic_3300046103_77	species_232	10.4849	0.168175
FRAM18_IL_4502_E	mosaic_3300046103_88	species_272	0.540613	0.00867127
FRAM18_IL_4502_E	mosaic_3300046103_89	species_730	2.1304	0.034171
FRAM18_IL_4502_E	mosaic_3300046103_93	species_449	5.35097	0.0858279
FRAM18_IL_4502_E	mosaic_3300046450_154	species_216	1.11465	0.0178786
FRAM18_IL_4502_E	mosaic_3300046450_17	species_78	0.143354	0.00229935
FRAM18_IL_4502_E	mosaic_3300046450_21	species_263	1.05158	0.016867
FRAM18_IL_4502_E	mosaic_3300046450_26	species_72	0.541059	0.00867842
FRAM18_IL_4502_E	mosaic_3300046450_69	species_58	0.627824	0.0100701
FRAM18_IL_4502_E	mosaic_3300046450_73	species_83	1.58588	0.025437
FRAM18_IL_4502_E	mosaic_3300046450_79	species_604	0.107512	0.00172446
FRAM18_IL_4502_E	mosaic_3300046450_83	species_396	0.0975345	0.00156442
FRAM18_IL_4502_E	mosaic_3300046450_98	species_45	40.2081	0.644926
FRAM18_IL_4502_E	mosaic_3300046450_99	species_174	0.619416	0.00993524
FRAM18_IL_4502_E	mosaic_3300046451_10	species_217	0.223514	0.0035851
FRAM18_IL_4502_E	mosaic_3300046451_121	species_98	13.0393	0.209146
FRAM18_IL_4502_E	mosaic_3300046451_16	species_616	0.302988	0.00485983
FRAM18_IL_4502_E	mosaic_3300046451_24	species_261	1.31499	0.021092
FRAM18_IL_4502_E	mosaic_3300046451_27	species_175	4.69235	0.0752638
FRAM18_IL_4502_E	mosaic_3300046451_3	species_659	0.458442	0.00735327
FRAM18_IL_4502_E	mosaic_3300046451_4	species_613	1.06183	0.0170314
FRAM18_IL_4502_E	mosaic_3300046451_63	species_763	6.73428	0.108016
FRAM18_IL_4502_E	mosaic_3300046451_66	species_628	7.83551	0.125679
FRAM18_IL_4502_E	mosaic_3300046451_71	species_599	3.34428	0.0536412
FRAM18_IL_4502_E	mosaic_3300046451_73	species_574	0	0
FRAM18_IL_4502_E	mosaic_3300046451_74	species_585	0.0686601	0.00110129
FRAM18_IL_4502_E	mosaic_3300046451_79	species_554	2.39391	0.0383976
FRAM18_IL_4502_E	mosaic_3300046451_80	species_109	20.1051	0.32248
FRAM18_IL_4502_E	mosaic_3300046451_85	species_298	3.06519	0.0491647
FRAM18_IL_4502_E	mosaic_3300046451_92	species_359	19.0959	0.306292
FRAM18_IL_4502_E	mosaic_3300046467_100	species_235	0	0
FRAM18_IL_4502_E	mosaic_3300046467_107	species_279	0	0
FRAM18_IL_4502_E	mosaic_3300046467_118	species_201	21.0188	0.337135
FRAM18_IL_4502_E	mosaic_3300046467_124	species_397	0	0
FRAM18_IL_4502_E	mosaic_3300046467_127	species_682	0	0
FRAM18_IL_4502_E	mosaic_3300046467_133	species_262	0	0
FRAM18_IL_4502_E	mosaic_3300046467_137	species_233	0	0
FRAM18_IL_4502_E	mosaic_3300046467_13	species_19	0	0
FRAM18_IL_4502_E	mosaic_3300046467_144	species_472	0	0
FRAM18_IL_4502_E	mosaic_3300046467_14	species_238	0	0
FRAM18_IL_4502_E	mosaic_3300046467_156	species_257	0	0
FRAM18_IL_4502_E	mosaic_3300046467_157	species_77	0	0
FRAM18_IL_4502_E	mosaic_3300046467_15	species_240	0	0
FRAM18_IL_4502_E	mosaic_3300046467_165	species_244	0	0
FRAM18_IL_4502_E	mosaic_3300046467_171	species_427	0.062198	0.000997637
FRAM18_IL_4502_E	mosaic_3300046467_176	species_196	0	0
FRAM18_IL_4502_E	mosaic_3300046467_178	species_398	0	0
FRAM18_IL_4502_E	mosaic_3300046467_179	species_720	0.447329	0.00717502
FRAM18_IL_4502_E	mosaic_3300046467_181	species_266	0	0
FRAM18_IL_4502_E	mosaic_3300046467_24	species_16	0	0
FRAM18_IL_4502_E	mosaic_3300046467_26	species_157	0	0
FRAM18_IL_4502_E	mosaic_3300046467_28	species_156	0	0
FRAM18_IL_4502_E	mosaic_3300046467_29	species_264	0	0
FRAM18_IL_4502_E	mosaic_3300046467_30	species_138	0.0189937	0.000304653
FRAM18_IL_4502_E	mosaic_3300046467_31	species_342	0	0
FRAM18_IL_4502_E	mosaic_3300046467_40	species_118	0.00118677	1.90354e-05
FRAM18_IL_4502_E	mosaic_3300046467_43	species_122	0	0
FRAM18_IL_4502_E	mosaic_3300046467_48	species_295	0	0
FRAM18_IL_4502_E	mosaic_3300046467_58	species_394	0	0
FRAM18_IL_4502_E	mosaic_3300046467_61	species_341	0	0
FRAM18_IL_4502_E	mosaic_3300046467_62	species_249	0	0
FRAM18_IL_4502_E	mosaic_3300046467_63	species_170	0	0
FRAM18_IL_4502_E	mosaic_3300046467_64	species_20	0	0
FRAM18_IL_4502_E	mosaic_3300046467_67	species_648	0	0
FRAM18_IL_4502_E	mosaic_3300046467_68	species_727	0	0
FRAM18_IL_4502_E	mosaic_3300046467_69	species_313	0.00807353	0.000129497
FRAM18_IL_4502_E	mosaic_3300046467_6	species_66	0	0
FRAM18_IL_4502_E	mosaic_3300046467_71	species_202	0.253165	0.00406069
FRAM18_IL_4502_E	mosaic_3300046467_77	species_14	0	0
FRAM18_IL_4502_E	mosaic_3300046467_84	species_125	0.667558	0.0107074
FRAM18_IL_4502_E	mosaic_3300046467_90	species_224	0	0
FRAM18_IL_4502_E	mosaic_3300046467_98	species_198	0	0
FRAM18_IL_4502_E	mosaic_3300046467_99	species_160	0	0
FRAM18_IL_4502_E	mosaic_3300046532_108	species_116	0.672469	0.0107862
FRAM18_IL_4502_E	mosaic_3300046532_11	species_343	0.236398	0.00379175
FRAM18_IL_4502_E	mosaic_3300046532_12	species_399	0	0
FRAM18_IL_4502_E	mosaic_3300046532_145	species_496	413.643	6.63471
FRAM18_IL_4502_E	mosaic_3300046532_14	species_379	3.47253	0.0556983
FRAM18_IL_4502_E	mosaic_3300046532_157	species_258	0.239833	0.00384685
FRAM18_IL_4502_E	mosaic_3300046532_161	species_137	0.440632	0.0070676
FRAM18_IL_4502_E	mosaic_3300046532_16	species_627	2.15226	0.0345216
FRAM18_IL_4502_E	mosaic_3300046532_171	species_288	0	0
FRAM18_IL_4502_E	mosaic_3300046532_177	species_704	1.01409	0.0162657
