Gene,HI_mean,LI_mean,Sample,CLR_values,cluster,KEGG_ID,Metabolism,Metabolism_group,Enrichment
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_11_1617,0.054275051,Low-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],-0.072766801,0.036383401,RAS_EGC_12_1617_1,0.031526913,High-ice cluster,K07258,Proteins,-0.109150202,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_02_1617_1,-0.077349047,High-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_03_1617_2,-0.212787017,High-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_05_1617_2,0.053679216,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_07_1617_1,0.107746437,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_08_1617_1,0.024003448,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_09_1617_1,0.116022346,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_10_1617_2,-0.107808254,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_11_1617,0.002693661,Low-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
dipeptidase E [EC:3.4.13.21],-0.065445618,0.032722809,RAS_EGC_12_1617_1,0.09379921,High-ice cluster,K05995,Proteins,-0.098168427,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_02_1617_1,-0.09905596,High-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_03_1617_2,-0.064370402,High-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_05_1617_2,-0.040311503,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_07_1617_1,0.14042401,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_08_1617_1,-0.045077199,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_09_1617_1,-0.105801349,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_10_1617_2,0.054854595,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_11_1617,0.093021771,Low-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
murein DD-endopeptidase [EC:3.4.24.-],-0.032370108,0.016185054,RAS_EGC_12_1617_1,0.066316038,High-ice cluster,K19304,Proteins,-0.048555162,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_02_1617_1,0.056665166,High-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_03_1617_2,0.019292823,High-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_05_1617_2,0.007635739,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_07_1617_1,-0.00077474,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_08_1617_1,-0.115185091,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_09_1617_1,-0.074363096,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_10_1617_2,0.029177583,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_11_1617,0.058258792,Low-ice cluster,K01255,Proteins,0.047625407,HI_enriched
leucyl aminopeptidase [EC:3.4.11.1],0.031750271,-0.015875136,RAS_EGC_12_1617_1,0.019292823,High-ice cluster,K01255,Proteins,0.047625407,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_02_1617_1,0.43990378,High-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_03_1617_2,0.519277368,High-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_05_1617_2,-0.325346694,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_07_1617_1,-0.185991173,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_08_1617_1,-0.403055678,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_09_1617_1,-0.353784629,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_10_1617_2,-0.028362229,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_11_1617,-0.177893963,Low-ice cluster,NA,Proteins,0.737217183,HI_enriched
Methionine aminopeptidase 1,0.491478122,-0.245739061,RAS_EGC_12_1617_1,0.515253218,High-ice cluster,NA,Proteins,0.737217183,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_02_1617_1,0.487120344,High-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_03_1617_2,0.797275272,High-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_05_1617_2,0.084325464,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_07_1617_1,-0.313171474,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_08_1617_1,-0.633114409,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_09_1617_1,-0.736655088,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_10_1617_2,-0.244178603,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_11_1617,-0.109259285,Low-ice cluster,NA,Proteins,0.976026697,HI_enriched
D-aminopeptidase,0.650684465,-0.325342232,RAS_EGC_12_1617_1,0.667657779,High-ice cluster,NA,Proteins,0.976026697,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_02_1617_1,0.583305608,High-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_03_1617_2,0.847834376,High-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_05_1617_2,0.181355442,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_07_1617_1,-0.708959803,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_08_1617_1,-0.480701151,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_09_1617_1,-0.440695817,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_10_1617_2,-0.383537403,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_11_1617,-0.402229536,Low-ice cluster,NA,Proteins,1.117384134,HI_enriched
Dipeptidyl aminopeptidase 4,0.744922756,-0.372461378,RAS_EGC_12_1617_1,0.803628283,High-ice cluster,NA,Proteins,1.117384134,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_02_1617_1,0.653632604,High-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_03_1617_2,0.996793829,High-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_05_1617_2,0.062484592,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_07_1617_1,-0.780781005,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_08_1617_1,-0.649011727,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_09_1617_1,-0.510861389,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_10_1617_2,-0.389500532,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_11_1617,-0.053028295,Low-ice cluster,K07259,Proteins,1.160349178,HI_enriched
serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],0.773566119,-0.386783059,RAS_EGC_12_1617_1,0.670271923,High-ice cluster,K07259,Proteins,1.160349178,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_02_1617_1,0.581862325,High-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_03_1617_2,1.023695078,High-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_05_1617_2,-0.046746334,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_07_1617_1,-0.452211442,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_08_1617_1,-1.145358623,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_09_1617_1,-0.229067891,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_10_1617_2,-0.334428407,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_11_1617,-0.180277727,Low-ice cluster,NA,Proteins,1.194045212,HI_enriched
Isoaspartyl peptidase,0.796030141,-0.398015071,RAS_EGC_12_1617_1,0.782533021,High-ice cluster,NA,Proteins,1.194045212,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_02_1617_1,0.023117675,High-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_03_1617_2,0.108058352,High-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_05_1617_2,-0.03905957,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_07_1617_1,0.030184843,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_08_1617_1,-0.025938482,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_09_1617_1,-0.220626694,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_10_1617_2,0.059675271,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_11_1617,0.064790372,Low-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system ATP-binding protein,0.043658087,-0.021829043,RAS_EGC_12_1617_1,-0.000201767,High-ice cluster,K01996,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_02_1617_1,-0.057060541,High-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_03_1617_2,0.094298791,High-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_05_1617_2,-0.125182711,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_07_1617_1,0.030458838,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_08_1617_1,0.000978244,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_09_1617_1,-0.117380331,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_10_1617_2,0.067743858,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_11_1617,0.044879498,Low-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
branched-chain amino acid transport system permease protein ,0.032834201,-0.016417101,RAS_EGC_12_1617_1,0.061264354,High-ice cluster,K01997,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_02_1617_1,0.023649209,High-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_03_1617_2,-0.099710275,High-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_05_1617_2,-0.005793546,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_07_1617_1,-0.009785567,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_08_1617_1,-0.144460471,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_09_1617_1,0.122995544,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_10_1617_2,0.057873081,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_11_1617,-0.013793589,Low-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine dehydrogenase [EC:1.4.1.1],-0.002345151,0.001172575,RAS_EGC_12_1617_1,0.069025613,High-ice cluster,K00259,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_02_1617_1,0.015139942,High-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_03_1617_2,0.100146847,High-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_05_1617_2,0.095040453,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_07_1617_1,-0.014881074,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_08_1617_1,-0.112861483,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_09_1617_1,0.12363786,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_10_1617_2,-0.104493233,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_11_1617,-0.036056071,Low-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
alanine racemase [EC:5.1.1.1],0.016537849,-0.008268925,RAS_EGC_12_1617_1,-0.065673241,High-ice cluster,K01775,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_02_1617_1,1.409005018,High-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_03_1617_2,1.121322946,High-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_05_1617_2,-0.345014123,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_07_1617_1,-1.155944339,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_08_1617_1,-0.932800788,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_09_1617_1,-1.155944339,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_10_1617_2,-0.239653608,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_11_1617,0.230350022,Low-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
proline racemase [EC:5.1.1.4],1.199669059,-0.599834529,RAS_EGC_12_1617_1,1.068679212,High-ice cluster,K01777,Amino_acids,Substrates,HI_enriched
polar amino acid transport system ATP-binding protein [EC:7.4.2.1],-0.164771251,0.082385625,RAS_EGC_02_1617_1,-0.366248274,High-ice cluster,K02028,Amino_acids,Substrates,HI_enriched
